"Emergency Temporary Shelter","Period Start","Period End","Food","Medical","Policy","Resident","Security Issue","Shelter Staff","Supplies / Donations","Vendor","Work Authorization","Facility","Benefits","Other","Unknown / Pending","Total","Record ID"
"AIC","04/22/2024","05/05/2024","1",,"1",,,"2",,,,,,,,"4","AIC_2024-05-05"
"Brands","04/22/2024","05/05/2024",,,,,,"1",,,,,,,,"1","Brands_2024-05-05"
"Elston Shelter","04/22/2024","05/05/2024",,,,"1","1",,,,,,,,,"2","Elston_Shelter_2024-05-05"
"Halsted","04/22/2024","05/05/2024",,,,,,"1",,,,,,,"1","2","Halsted_2024-05-05"
"Inn of Chicago","04/22/2024","05/05/2024",,,,,,,,,,,,,"5","5","Inn_of_Chicago_2024-05-05"
"Lakeshore Hotel","04/22/2024","05/05/2024",,,,,,,,,,,,,,"0","Lakeshore_Hotel_2024-05-05"
"Little Village Pulaski","04/22/2024","05/05/2024","1",,,,,,,,,,,,"2","3","Little_Village_Pulaski_2024-05-05"
"MWRD","04/22/2024","05/05/2024",,,,,,"1",,"1",,,,,,"2","MWRD_2024-05-05"
"North Western Shelter","04/22/2024","05/05/2024",,,,,,,,,,,,,"1","1","North_Western_Shelter_2024-05-05"
"Ogden","04/22/2024","05/05/2024",,,,,,,,,,,,,"1","1","Ogden_2024-05-05"
"Parthenon","04/22/2024","05/05/2024",,,,,,,,,,,,,,"0","Parthenon_2024-05-05"
"Social Club","04/22/2024","05/05/2024","1",,,,,"7",,"1",,,,,,"9","Social_Club_2024-05-05"
"Super 8 Hotel","04/22/2024","05/05/2024",,,"1","4","1","10",,,,,,,,"16","Super_8_Hotel_2024-05-05"
"Wadsworth","04/22/2024","05/05/2024",,,,,,"1",,,,,,"1",,"2","Wadsworth_2024-05-05"
"Walnut Shelter","04/22/2024","05/05/2024",,,,,,,,,,,,,,"0","Walnut_Shelter_2024-05-05"
"West Lake","04/22/2024","05/05/2024",,,,,,,,,,,,,"1","1","West_Lake_2024-05-05"
"YWLA","04/22/2024","05/05/2024",,,,,,,,,,,,,,"0","YWLA_2024-05-05"
"AIC","05/06/2024","05/19/2024","1",,,,,,,,,,,,"6","7","AIC_2024-05-19"
"Brands","05/06/2024","05/19/2024",,,,,,,,,,,,,,,"Brands_2024-05-19"
"Gage Park","05/06/2024","05/19/2024",,,,,,,,,,,,"1",,"1","Gage_Park_2024-05-19"
"Elston Shelter","05/06/2024","05/19/2024",,,,,,,,,,,,,,,"Elston_Shelter_2024-05-19"
"Halsted","05/06/2024","05/19/2024",,,,,,"2",,,,,,,"2","4","Halsted_2024-05-19"
"Inn of Chicago","05/06/2024","05/19/2024",,,,,,,,,,,,,"5","5","Inn_of_Chicago_2024-05-19"
"Lakeshore Hotel","05/06/2024","05/19/2024",,,,,,,,,,,,,,,"Lakeshore_Hotel_2024-05-19"
"Little Village Pulaski","05/06/2024","05/19/2024",,,,,,,,,,,,,"1","1","Little_Village_Pulaski_2024-05-19"
"MWRD","05/06/2024","05/19/2024",,,,,,,,,,,,,,,"MWRD_2024-05-19"
"North Western Shelter","05/06/2024","05/19/2024",,,,,,,,,,,,,"1","1","North_Western_Shelter_2024-05-19"
"Ogden","05/06/2024","05/19/2024",,,,,,"3",,,,,,,,"3","Ogden_2024-05-19"
"Parthenon","05/06/2024","05/19/2024",,,,,,"1",,,,,,,"1","2","Parthenon_2024-05-19"
"Social Club","05/06/2024","05/19/2024",,,,"1","1","9",,,,,,,"4","15","Social_Club_2024-05-19"
"Super 8 Hotel","05/06/2024","05/19/2024",,,,,,,,,,,,,,,"Super_8_Hotel_2024-05-19"
"Wadsworth","05/06/2024","05/19/2024",,,,,,,,,,,,,,,"Wadsworth_2024-05-19"
"Walnut Shelter","05/06/2024","05/19/2024",,,,,,,,,,,,,"2","2","Walnut_Shelter_2024-05-19"
"West Lake","05/06/2024","05/19/2024",,,,,,,,,"2",,,,"1","3","West_Lake_2024-05-19"
"YWLA","05/06/2024","05/19/2024",,,"1",,,,,,,"1",,,"2","2","YWLA_2024-05-19"
"AIC","05/20/2024","06/02/2024","1",,,"1",,"2",,,,,,,,"4","AIC_2024-06-02"
"Brands","05/20/2024","06/02/2024",,,"1",,,,,,,,,,,"1","Brands_2024-06-02"
"Elston Shelter","05/20/2024","06/02/2024","1",,,"1",,"1",,,,,,"1",,"4","Elston_Shelter_2024-06-02"
"Gage Park","05/20/2024","06/02/2024",,,,,,,,,,,,,,"0","Gage_Park_2024-06-02"
"Halsted","05/20/2024","06/02/2024",,,,"1",,,,,,,,,"8","9","Halsted_2024-06-02"
"Inn of Chicago","05/20/2024","06/02/2024",,,,,,,,,,,,,"1","1","Inn_of_Chicago_2024-06-02"
"Lakeshore Hotel","05/20/2024","06/02/2024",,,,,,,,,,,,,,"0","Lakeshore_Hotel_2024-06-02"
"Little Village Pulaski","05/20/2024","06/02/2024",,,,,,,,,,,,,,"0","Little_Village_Pulaski_2024-06-02"
"MWRD","05/20/2024","06/02/2024",,,,,,"1",,,,,,,"2","3","MWRD_2024-06-02"
"North Western Shelter","05/20/2024","06/02/2024",,,,,,,,,,,,,"1","1","North_Western_Shelter_2024-06-02"
"Ogden","05/20/2024","06/02/2024","1",,,,,"1","2",,,"3",,,"3","10","Ogden_2024-06-02"
"Parthenon","05/20/2024","06/02/2024",,,,,,"4",,,,,,,,"4","Parthenon_2024-06-02"
"Social Club","05/20/2024","06/02/2024",,,,,,"4",,,,,,,,"4","Social_Club_2024-06-02"
"Super 8 Hotel","05/20/2024","06/02/2024",,,"1","1",,,,,,,,,"1","3","Super_8_Hotel_2024-06-02"
"Walnut Shelter","05/20/2024","06/02/2024",,,,,,,,,,,,,,"0","Walnut_Shelter_2024-06-02"
"West Lake","05/20/2024","06/02/2024","1",,,,,"3",,,,,,,"2","6","West_Lake_2024-06-02"
"YWLA","05/20/2024","06/02/2024",,,,,,,,,,,,,,"0","YWLA_2024-06-02"
"AIC","06/03/2024","06/16/2024",,,,,,,,,,,,,"13","13","AIC_2024-06-16"
"Daley College","06/03/2024","06/16/2024",,,,,,,,,,,,,,"0","Daley_College_2024-06-16"
"Elston Shelter","06/03/2024","06/16/2024",,,,,,,,,,,,,"1","1","Elston_Shelter_2024-06-16"
"Halsted","06/03/2024","06/16/2024","1",,,,,"3",,,,,,,,"4","Halsted_2024-06-16"
"Inn of Chicago","06/03/2024","06/16/2024",,,,,,,,,,,,,,"0","Inn_of_Chicago_2024-06-16"
"Lakeshore Hotel","06/03/2024","06/16/2024",,,,,,,,,,,,,,"0","Lakeshore_Hotel_2024-06-16"
"Little Village Pulaski","06/03/2024","06/16/2024",,,,,,,,,,,,,,"0","Little_Village_Pulaski_2024-06-16"
"MWRD","06/03/2024","06/16/2024",,,,"1",,"2",,,,,,,"1","4","MWRD_2024-06-16"
"North Western Shelter","06/03/2024","06/16/2024",,,,"1",,,,,,,,"1",,"2","North_Western_Shelter_2024-06-16"
"Ogden","06/03/2024","06/16/2024",,,,,,"1",,,,,,,"1","2","Ogden_2024-06-16"
"Parthenon","06/03/2024","06/16/2024",,,,,,,,,,,,,,"0","Parthenon_2024-06-16"
"Social Club","06/03/2024","06/16/2024",,,,,,,,,,,,,,"0","Social_Club_2024-06-16"
"South DuSable","06/03/2024","06/16/2024",,,,,,,,,,,,,,"0","South_DuSable_2024-06-16"
"Super 8 Hotel","06/03/2024","06/16/2024",,,,,,"1",,,,,,,,"1","Super_8_Hotel_2024-06-16"
"Walnut Shelter","06/03/2024","06/16/2024",,,,,,,,,,,,,,"0","Walnut_Shelter_2024-06-16"
"West Lake","06/03/2024","06/16/2024",,,,,,,,,,,,,"6","6","West_Lake_2024-06-16"
"YWLA","06/03/2024","06/16/2024",,,,,,,,,,,,,,"0","YWLA_2024-06-16"
"AIC","06/17/2024","06/30/2024",,,"1","1",,"1",,,,,,,"2","5","AIC_2024-06-30"
"Daley College","06/17/2024","06/30/2024",,,,,,,,,,,,,,"0","Daley_College_2024-06-30"
"Elston Shelter","06/17/2024","06/30/2024",,,,,,"9",,,,,,,,"9","Elston_Shelter_2024-06-30"
"Halsted","06/17/2024","06/30/2024",,,,,,"1",,,,,,,,"1","Halsted_2024-06-30"
"Inn of Chicago","06/17/2024","06/30/2024",,,,,,,,,,,,,,"0","Inn_of_Chicago_2024-06-30"
"Lakeshore Hotel","06/17/2024","06/30/2024","2",,,,,,,,,,,,,"2","Lakeshore_Hotel_2024-06-30"
"Little Village Pulaski","06/17/2024","06/30/2024",,,,,,,,,,,,,"2","2","Little_Village_Pulaski_2024-06-30"
"MWRD","06/17/2024","06/30/2024",,,,,,"1",,,,,,,"1","2","MWRD_2024-06-30"
"North Western Shelter","06/17/2024","06/30/2024",,,,,,,,,,,,,,"0","North_Western_Shelter_2024-06-30"
"Ogden","06/17/2024","06/30/2024",,,,,,"2",,,,,,,,"2","Ogden_2024-06-30"
"Parthenon","06/17/2024","06/30/2024",,,,,,"1",,,,,,,,"1","Parthenon_2024-06-30"
"Social Club","06/17/2024","06/30/2024",,,,,,"1",,,,,,,"2","3","Social_Club_2024-06-30"
"South DuSable","06/17/2024","06/30/2024",,,,,,,,,,,,,,"0","South_DuSable_2024-06-30"
"Super 8 Hotel","06/17/2024","06/30/2024",,,,,,,,,,,,,,"0","Super_8_Hotel_2024-06-30"
"Walnut Shelter","06/17/2024","06/30/2024",,,,,,"1",,,,,,,,"1","Walnut_Shelter_2024-06-30"
"West Lake","06/17/2024","06/30/2024",,,,,,,,,,,,,,"0","West_Lake_2024-06-30"
"YWLA","06/17/2024","06/30/2024",,,,,,,,,,,,,"1","1","YWLA_2024-06-30"
"AIC","07/01/2024","07/14/2024",,,,,,"8",,,,,,,"1","9","AIC_2024-07-14"
"Elston Shelter","07/01/2024","07/14/2024","1",,,,,,,,,,,,"2","3","Elston_Shelter_2024-07-14"
"Halsted","07/01/2024","07/14/2024",,,,,,,,,,,,,"2","2","Halsted_2024-07-14"
"Inn of Chicago","07/01/2024","07/14/2024",,,,,,,,,,,,,,"0","Inn_of_Chicago_2024-07-14"
"Lakeshore Hotel","07/01/2024","07/14/2024",,,,,,,,,,,,,,"0","Lakeshore_Hotel_2024-07-14"
"Little Village Pulaski","07/01/2024","07/14/2024",,,,,,,,,,,,,,"0","Little_Village_Pulaski_2024-07-14"
"Midway Shelter","07/01/2024","07/14/2024",,,,,,,,,,,,,,"0","Midway_Shelter_2024-07-14"
"MWRD","07/01/2024","07/14/2024",,,,,,"5",,,,,,,,"5","MWRD_2024-07-14"
"North Western Shelter","07/01/2024","07/14/2024",,,,,,,,,,,,,"1","1","North_Western_Shelter_2024-07-14"
"Ogden","07/01/2024","07/14/2024",,,,,,"5",,,,,,,,"5","Ogden_2024-07-14"
"Parthenon","07/01/2024","07/14/2024",,,,,,"2",,,,,,,,"2","Parthenon_2024-07-14"
"Social Club","07/01/2024","07/14/2024",,,,,,"3",,,,,,,,"3","Social_Club_2024-07-14"
"South DuSable","07/01/2024","07/14/2024",,,,,,,,,,,,,"1","1","South_DuSable_2024-07-14"
"Super 8 Hotel","07/01/2024","07/14/2024",,,,,,,,,,,,,"3","3","Super_8_Hotel_2024-07-14"
"Walnut Shelter","07/01/2024","07/14/2024",,,,,,,,,,,,,,"0","Walnut_Shelter_2024-07-14"
"West Lake","07/01/2024","07/14/2024",,,,,,,,,,,,,"3","3","West_Lake_2024-07-14"
"YWLA","07/01/2024","07/14/2024",,,,,,,,,,,,,,"0","YWLA_2024-07-14"
"AIC","07/15/2024","07/28/2024",,,,,,"2",,,,,,"1",,"3","AIC_2024-07-28"
"Elston Shelter","07/15/2024","07/28/2024",,,,,,"1",,,,,,,"7","8","Elston_Shelter_2024-07-28"
"Halsted","07/15/2024","07/28/2024",,,"1",,,"4",,,,,,,,"5","Halsted_2024-07-28"
"Inn of Chicago","07/15/2024","07/28/2024",,,,,,,,,,,,,,"0","Inn_of_Chicago_2024-07-28"
"Lakeshore Hotel","07/15/2024","07/28/2024",,,,,,,,,,,,,,"0","Lakeshore_Hotel_2024-07-28"
"Little Village Pulaski","07/15/2024","07/28/2024",,,,,,,,,,,,,,"0","Little_Village_Pulaski_2024-07-28"
"Midway Shelter","07/15/2024","07/28/2024",,,,,,,,,,,,,"1","1","Midway_Shelter_2024-07-28"
"MWRD","07/15/2024","07/28/2024",,,,,,,,,,,,,"8","8","MWRD_2024-07-28"
"North Western Shelter","07/15/2024","07/28/2024",,,,,,,,,,,,,,"0","North_Western_Shelter_2024-07-28"
"Ogden","07/15/2024","07/28/2024",,,,,,"1",,,,,,,"3","4","Ogden_2024-07-28"
"Parthenon","07/15/2024","07/28/2024",,,,,,"2",,,"1",,,,"4","7","Parthenon_2024-07-28"
"Social Club","07/15/2024","07/28/2024",,,,,,,,,,,,,"2","2","Social_Club_2024-07-28"
"South DuSable","07/15/2024","07/28/2024",,,,,,,,,,,,,"2","2","South_DuSable_2024-07-28"
"Super 8 Hotel","07/15/2024","07/28/2024",,,,,,"1",,,,"1",,,,"2","Super_8_Hotel_2024-07-28"
"Walnut Shelter","07/15/2024","07/28/2024","1",,,,,,,,,,,,"1","2","Walnut_Shelter_2024-07-28"
"West Lake","07/15/2024","07/28/2024",,,,,,,,,,,,,,"0","West_Lake_2024-07-28"
"YWLA","07/15/2024","07/28/2024",,,,,,,,,,,,,,"0","YWLA_2024-07-28"
"AIC","07/29/2024","08/11/2024",,,"1",,,,,,,,,,,"1","AIC_2024-08-11"
"Elston Shelter","07/29/2024","08/11/2024","1",,,,,"3",,,,,,,"1","5","Elston_Shelter_2024-08-11"
"Halsted","07/29/2024","08/11/2024",,,,,,,,,,,,,"4","4","Halsted_2024-08-11"
"Inn of Chicago","07/29/2024","08/11/2024",,,,,"1",,,,,,,,,"1","Inn_of_Chicago_2024-08-11"
"Lakeshore Hotel","07/29/2024","08/11/2024",,,,,,,,,,,,,,"0","Lakeshore_Hotel_2024-08-11"
"Little Village Pulaski","07/29/2024","08/11/2024",,,,,,,,,,,,,"2","2","Little_Village_Pulaski_2024-08-11"
"Midway Shelter","07/29/2024","08/11/2024",,,,,,,,,,,,,,"0","Midway_Shelter_2024-08-11"
"MWRD","07/29/2024","08/11/2024","2",,,"1",,"6",,"3",,"1",,,"2","15","MWRD_2024-08-11"
"North Western Shelter","07/29/2024","08/11/2024",,,,,,"7",,,,"1",,,,"8","North_Western_Shelter_2024-08-11"
"Ogden","07/29/2024","08/11/2024",,,,,,"2",,,,,,,"3","5","Ogden_2024-08-11"
"Parthenon","07/29/2024","08/11/2024",,,,,,"1",,,,,,,,"1","Parthenon_2024-08-11"
"Social Club","07/29/2024","08/11/2024",,,,,"1","2",,"1",,,,,"5","9","Social_Club_2024-08-11"
"South DuSable","07/29/2024","08/11/2024",,,,,,,,,,,,,"1","1","South_DuSable_2024-08-11"
