"Emergency Temporary Shelter","Period Start","Period End","Food","Medical","Policy","Resident","Security Issue","Shelter Staff","Supplies / Donations","Vendor","Work Authorization","Facility","Benefits","Other","Unknown / Pending","Total","Record ID"
"Super 8 Hotel","07/29/2024","08/11/2024",,,,,,"1",,,,,,,,"1","Super_8_Hotel_2024-08-11"
"Walnut Shelter","07/29/2024","08/11/2024",,,,,,"1",,,,,,,,"1","Walnut_Shelter_2024-08-11"
"West Lake","07/29/2024","08/11/2024",,,,,,"11",,,,,,,,"11","West_Lake_2024-08-11"
"YWLA","07/29/2024","08/11/2024",,,,,,,,,,,,,,"0","YWLA_2024-08-11"
"AIC","08/12/2024","08/25/2024",,,,,,"2",,,,,,"1",,"3","AIC_2024-08-25"
"Elston Shelter","08/12/2024","08/25/2024",,,,,,"18",,,"1",,,,"1","20","Elston_Shelter_2024-08-25"
"Halsted","08/12/2024","08/25/2024","1",,,,,"1",,,,,,,,"2","Halsted_2024-08-25"
"Inn of Chicago","08/12/2024","08/25/2024",,,,,,,,,,,,,"3","3","Inn_of_Chicago_2024-08-25"
"Lakeshore Hotel","08/12/2024","08/25/2024",,,,,,,,,,,,,"1","1","Lakeshore_Hotel_2024-08-25"
"Little Village Pulaski","08/12/2024","08/25/2024",,,,,,,,,,,,,,"0","Little_Village_Pulaski_2024-08-25"
"Midway Shelter","08/12/2024","08/25/2024",,,,,,,,,,,,,"3","3","Midway_Shelter_2024-08-25"
"MWRD","08/12/2024","08/25/2024","1",,,,,"1",,,,,,,,"2","MWRD_2024-08-25"
"North Western Shelter","08/12/2024","08/25/2024","3",,,,,"7",,,"1","1",,,"1","13","North_Western_Shelter_2024-08-25"
"Ogden","08/12/2024","08/25/2024",,,,,,"2",,,,"1",,,,"3","Ogden_2024-08-25"
"Parthenon","08/12/2024","08/25/2024",,,,"1","1","2",,,,,,,"1","5","Parthenon_2024-08-25"
"Social Club","08/12/2024","08/25/2024",,,,,,,,,,,,,"1","1","Social_Club_2024-08-25"
"South DuSable","08/12/2024","08/25/2024",,,,,,,,,,,,,"3","3","South_DuSable_2024-08-25"
"Super 8 Hotel","08/12/2024","08/25/2024",,,,,,,,,,,,,"4","4","Super_8_Hotel_2024-08-25"
"Walnut Shelter","08/12/2024","08/25/2024",,,,,,,,,,,,,,"0","Walnut_Shelter_2024-08-25"
"West Lake","08/12/2024","08/25/2024",,,,,"7",,,,,,,,"2","9","West_Lake_2024-08-25"
"YWLA","08/12/2024","08/25/2024",,,,,,,,,,,,,,"0","YWLA_2024-08-25"
"AIC","08/26/2024","09/08/2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","AIC_2024-09-08"
"Elston Shelter","08/26/2024","09/08/2024","3","0","0","0","0","6","0","0","1","0","0","0","0","10","Elston_Shelter_2024-09-08"
"Halsted","08/26/2024","09/08/2024","0","2","0","0","0","0","0","0","0","0","0","0","0","2","Halsted_2024-09-08"
"Inn of Chicago","08/26/2024","09/08/2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Inn_of_Chicago_2024-09-08"
"Lakeshore Hotel","08/26/2024","09/08/2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lakeshore_Hotel_2024-09-08"
"Little Village Pulaski","08/26/2024","09/08/2024","0","0","0","0","0","0","0","0","0","0","0","0","3","3","Little_Village_Pulaski_2024-09-08"
"Midway Shelter","08/26/2024","09/08/2024","0","0","0","0","0","0","0","0","0","2","0","0","0","2","Midway_Shelter_2024-09-08"
"MWRD","08/26/2024","09/08/2024","0","0","0","0","0","7","0","0","0","0","0","0","0","7","MWRD_2024-09-08"
"North Western Shelter","08/26/2024","09/08/2024","4","0","0","0","0","2","0","0","0","0","0","0","0","6","North_Western_Shelter_2024-09-08"
"Ogden","08/26/2024","09/08/2024","0","0","0","0","0","1","0","0","0","0","0","0","0","1","Ogden_2024-09-08"
"Parthenon","08/26/2024","09/08/2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Parthenon_2024-09-08"
"Social Club","08/26/2024","09/08/2024","0","0","0","0","0","1","0","0","0","1","0","0","1","3","Social_Club_2024-09-08"
"South DuSable","08/26/2024","09/08/2024","0","0","0","0","0","0","0","0","0","0","0","0","2","2","South_DuSable_2024-09-08"
"Super 8 Hotel","08/26/2024","09/08/2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Super_8_Hotel_2024-09-08"
"Walnut Shelter","08/26/2024","09/08/2024","0","0","0","0","0","1","0","0","0","0","0","0","0","1","Walnut_Shelter_2024-09-08"
"West Lake","08/26/2024","09/08/2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","West_Lake_2024-09-08"
"YWLA","08/26/2024","09/08/2024","0","0","0","0","0","0","0","0","0","0","0","0","2","2","YWLA_2024-09-08"
"AIC","09/09/2024","09/22/2024",,,,"1",,"1",,,,,,,"1","3","AIC_2024-09-22"
"Elston Shelter","09/09/2024","09/22/2024",,,,,,"13",,,"1",,,,"3","17","Elston_Shelter_2024-09-22"
"Halsted","09/09/2024","09/22/2024",,,,,,,,,,,,,,"0","Halsted_2024-09-22"
"Inn of Chicago","09/09/2024","09/22/2024",,,,,,"1",,,,,,,"2","3","Inn_of_Chicago_2024-09-22"
"Lakeshore Hotel","09/09/2024","09/22/2024",,,,,,,,,,,,,,"0","Lakeshore_Hotel_2024-09-22"
"Little Village Pulaski","09/09/2024","09/22/2024",,,,,"1","5",,,,,,,"2","8","Little_Village_Pulaski_2024-09-22"
"Midway Shelter","09/09/2024","09/22/2024",,,,,,,,,,,,,"1","1","Midway_Shelter_2024-09-22"
"MWRD","09/09/2024","09/22/2024",,,,,,,,,,,,,,"0","MWRD_2024-09-22"
"North Western Shelter","09/09/2024","09/22/2024",,,,,,,,,,,,,"1","1","North_Western_Shelter_2024-09-22"
"Ogden","09/09/2024","09/22/2024",,,,,,"4",,,,,,"7",,"11","Ogden_2024-09-22"
"Parthenon","09/09/2024","09/22/2024",,,,,,"4",,,,,,,"1","5","Parthenon_2024-09-22"
"Social Club","09/09/2024","09/22/2024",,,,,,"3",,,,,,,"4","7","Social_Club_2024-09-22"
"South DuSable","09/09/2024","09/22/2024","1",,,,,,,,,,,,"4","5","South_DuSable_2024-09-22"
"Super 8 Hotel","09/09/2024","09/22/2024",,,,,,,,,,,"2",,"1","3","Super_8_Hotel_2024-09-22"
"Walnut Shelter","09/09/2024","09/22/2024",,,,,,"2",,,,,,,"2","4","Walnut_Shelter_2024-09-22"
"West Lake","09/09/2024","09/22/2024",,,,,,,,,,,,,,"0","West_Lake_2024-09-22"
"YWLA","09/09/2024","09/22/2024",,,,,,,,,,,,,"1","1","YWLA_2024-09-22"
"AIC","09/23/2024","10/06/2024",,,,,,,,,,,,,"1","1","AIC_2024-10-06"
"Elston Shelter","09/23/2024","10/06/2024",,,,,"1","12",,,,,,,,"13","Elston_Shelter_2024-10-06"
"Halsted","09/23/2024","10/06/2024",,,,,,,,,,,,,,"0","Halsted_2024-10-06"
"Inn of Chicago","09/23/2024","10/06/2024","1",,,,,"1",,,,"1",,,,"3","Inn_of_Chicago_2024-10-06"
"Lakeshore Hotel","09/23/2024","10/06/2024",,,,,,,,,,,,,,"0","Lakeshore_Hotel_2024-10-06"
"Little Village Pulaski","09/23/2024","10/06/2024",,,,,,,,,,,,,"2","2","Little_Village_Pulaski_2024-10-06"
"Midway Shelter","09/23/2024","10/06/2024",,,,,,,,,,,,,"1","1","Midway_Shelter_2024-10-06"
"MWRD","09/23/2024","10/06/2024",,,,,,,,,,,,,,"0","MWRD_2024-10-06"
"North Western Shelter","09/23/2024","10/06/2024","1",,,,,,,,,,,,,"1","North_Western_Shelter_2024-10-06"
"Ogden","09/23/2024","10/06/2024",,,,,,,,,,,,,,"0","Ogden_2024-10-06"
"Parthenon","09/23/2024","10/06/2024",,,,,,"6",,,,,,,,"6","Parthenon_2024-10-06"
"Social Club","09/23/2024","10/06/2024","1",,,,"1","2",,,,,,,,"4","Social_Club_2024-10-06"
"South DuSable","09/23/2024","10/06/2024","1",,,,,,,,,,,,"1","2","South_DuSable_2024-10-06"
"Super 8 Hotel","09/23/2024","10/06/2024","2",,,,,"2",,,,,"1",,,"5","Super_8_Hotel_2024-10-06"
"Walnut Shelter","09/23/2024","10/06/2024",,,"1",,,"1",,,,,,,"1","3","Walnut_Shelter_2024-10-06"
"West Lake","09/23/2024","10/06/2024",,,,,,,,,,,,,,"0","West_Lake_2024-10-06"
"YWLA","09/23/2024","10/06/2024",,,,,,,,,,,,,,"0","YWLA_2024-10-06"
"AIC","10/07/2024","10/20/2024",,,,,,"5",,,,,,,,"5","AIC_2024-10-20"
"Elston Shelter","10/07/2024","10/20/2024","2",,,,,"8",,,"2","4",,,,"16","Elston_Shelter_2024-10-20"
"Halsted","10/07/2024","10/20/2024",,,,,,,,,,,,,,"0","Halsted_2024-10-20"
"Inn of Chicago","10/07/2024","10/20/2024",,,,,,"1",,,,,,,,"1","Inn_of_Chicago_2024-10-20"
"Lakeshore Hotel","10/07/2024","10/20/2024",,,,,,,,,,,,,,"0","Lakeshore_Hotel_2024-10-20"
"Little Village Pulaski","10/07/2024","10/20/2024",,,,,,,,,,,,,"1","1","Little_Village_Pulaski_2024-10-20"
"Midway Shelter","10/07/2024","10/20/2024","1",,,,,,,,,,,,,"1","Midway_Shelter_2024-10-20"
"MWRD","10/07/2024","10/20/2024",,,,,,"3",,,,,,,,"3","MWRD_2024-10-20"
"North Western Shelter","10/07/2024","10/20/2024",,,,,,"2",,,,,,,"1","3","North_Western_Shelter_2024-10-20"
"Ogden","10/07/2024","10/20/2024",,,,,,,,,,,,,,"0","Ogden_2024-10-20"
"Parthenon","10/07/2024","10/20/2024",,,,,"2",,,,,,,,"2","4","Parthenon_2024-10-20"
"Social Club","10/07/2024","10/20/2024",,,,,,,,,,,,,,"0","Social_Club_2024-10-20"
"South DuSable","10/07/2024","10/20/2024",,,,,,,,,,,,,"8","8","South_DuSable_2024-10-20"
"Super 8 Hotel","10/07/2024","10/20/2024",,,,,"1",,,,,,,,,"1","Super_8_Hotel_2024-10-20"
"Walnut Shelter","10/07/2024","10/20/2024",,,,,,"1",,,,,,,,"1","Walnut_Shelter_2024-10-20"
"West Lake","10/07/2024","10/20/2024",,,,,,"1",,,,,,,,"1","West_Lake_2024-10-20"
"YWLA","10/07/2024","10/20/2024",,,,,,,,,,,,,,"0","YWLA_2024-10-20"
"AIC","10/21/2024","11/03/2024",,,,,,"1",,,,,,"1",,"2","AIC_2024-11-03"
"Elston Shelter","10/21/2024","11/03/2024","1",,,"2","1","8","1",,,"1",,,,"14","Elston_Shelter_2024-11-03"
"Halsted","10/21/2024","11/03/2024",,,,,,,,,,,,,,"0","Halsted_2024-11-03"
"Inn of Chicago","10/21/2024","11/03/2024",,,,,,,,,,,,,,"0","Inn_of_Chicago_2024-11-03"
"Lakeshore Hotel","10/21/2024","11/03/2024",,,,,,,,,,,,,,"0","Lakeshore_Hotel_2024-11-03"
"Little Village Pulaski","10/21/2024","11/03/2024",,,,,,,,,,,,,,"0","Little_Village_Pulaski_2024-11-03"
"Midway Shelter","10/21/2024","11/03/2024",,,,"1",,"4",,,,,,,,"5","Midway_Shelter_2024-11-03"
"MWRD","10/21/2024","11/03/2024","1",,,,,"1","1",,,,,,,"3","MWRD_2024-11-03"
"North Western Shelter","10/21/2024","11/03/2024",,,,,,,,,,,,,,"0","North_Western_Shelter_2024-11-03"
"Ogden","10/21/2024","11/03/2024",,,,,,,,,,,,,,"0","Ogden_2024-11-03"
"Parthenon","10/21/2024","11/03/2024",,,,,,,,,,,,,"2","2","Parthenon_2024-11-03"
"Social Club","10/21/2024","11/03/2024",,,,,,,,,,,,,,"0","Social_Club_2024-11-03"
"South DuSable","10/21/2024","11/03/2024","4",,,,,"1",,,,,,,"2","7","South_DuSable_2024-11-03"
"Super 8 Hotel","10/21/2024","11/03/2024",,,,,,,,,,,,,,"0","Super_8_Hotel_2024-11-03"
"Walnut Shelter","10/21/2024","11/03/2024",,,,"4",,,,,,,,,,"4","Walnut_Shelter_2024-11-03"
"West Lake","10/21/2024","11/03/2024",,,,,,,,,,,,,,"0","West_Lake_2024-11-03"
"YWLA","10/21/2024","11/03/2024",,,,,,,,,,,,,,"0","YWLA_2024-11-03"
"AIC","11/04/2024","11/17/2024",,,,,,,,,,,,,,"0","AIC_2024-11-17"
"Elston Shelter","11/04/2024","11/17/2024","1",,,,,"2",,"1",,,,,,"4","Elston_Shelter_2024-11-17"
"Midway Shelter","11/04/2024","11/17/2024",,,,,,"1",,,,,,,,"1","Midway_Shelter_2024-11-17"
"MWRD","11/04/2024","11/17/2024","1",,,,"1","6",,,,,,,,"8","MWRD_2024-11-17"
"South DuSable","11/04/2024","11/17/2024","4",,,,,"6",,,,,,,,"10","South_DuSable_2024-11-17"
"Walnut Shelter","11/04/2024","11/17/2024",,,,"1",,,,,,,,,,"1","Walnut_Shelter_2024-11-17"
"West Lake","11/04/2024","11/17/2024",,,,,,"2",,,,,,,,"2","West_Lake_2024-11-17"
"YWLA","11/04/2024","11/17/2024",,,,,,,,,,,,,,"0","YWLA_2024-11-17"
"AIC","11/18/2024","12/01/2024","1",,"1",,,"1",,,,,,,,"3","AIC_2024-12-01"
"Elston Shelter","11/18/2024","12/01/2024",,,,,,"1",,,,,,,,"1","Elston_Shelter_2024-12-01"
"Midway Shelter","11/18/2024","12/01/2024",,,,,,"1",,,,,,,,"1","Midway_Shelter_2024-12-01"
"MWRD","11/18/2024","12/01/2024","1",,,,,"1",,,,,,,,"2","MWRD_2024-12-01"
"South DuSable","11/18/2024","12/01/2024",,,,,,"1",,,,,,,,"1","South_DuSable_2024-12-01"
"Walnut Shelter","11/18/2024","12/01/2024",,,,"2",,,,,,,,,,"2","Walnut_Shelter_2024-12-01"
"West Lake","11/18/2024","12/01/2024",,,,,,,,,,"1",,,,"1","West_Lake_2024-12-01"
"AIC","12/02/2024","12/15/2024","3",,,,,,"1",,,,,,,"4","AIC_2024-12-15"
"Midway Shelter","12/02/2024","12/15/2024",,,,,,"1",,,,,,,,"1","Midway_Shelter_2024-12-15"
"MWRD","12/02/2024","12/15/2024","1",,,,,"1",,,,,,,,"2","MWRD_2024-12-15"
"South DuSable","12/02/2024","12/15/2024",,,,,,"1",,,,,,,"2","3","South_DuSable_2024-12-15"
"AIC","12/16/2024","12/29/2024",,"1",,,,"1",,,,,,"1",,"3","AIC_2024-12-29"
"Elston Shelter","12/16/2024","12/29/2024",,,,,,"2",,,,,,,,"2","Elston_Shelter_2024-12-29"
"MWRD","12/16/2024","12/29/2024",,,,,,"1",,,,,,"1",,"2","MWRD_2024-12-29"
"MWRD","12/30/2024","12/31/2024",,,,,"1","1",,,,,,,,"2","MWRD_2024-12-31"
